date,video_id,title,channel,channel_id,subscribers,category,views,likes,comments
2025-02-21,eWAdpUyzCkI,JENNIE & Doechii - ExtraL (Official Video),JennieRubyJaneVEVO,UCN9_L9lA9kqJbGANLRus_1A,3530,Music,5529364,873300,51755
2025-02-21,5CVj41dtkIA,The Chosen: Last Supper Official Trailer (Season 5),The Chosen,UCBXOFnNTULFaAnj24PAeblg,3110000,Entertainment,1135853,66386,8167
2025-02-21,cFHElRaF19s,"Selena Gomez, benny blanco, Gracie Abrams - Call Me When You Break Up (Official Video)",SelenaGomezVEVO,UCjK8ORC71kwyj1DWFwril_A,14200000,Music,968377,100348,5559
2025-02-21,_egY-rqglNM,LAUNCHING OUR BRAND LIVE ON STREAM! 🌐,AMP,UCJbYdyufHR-cxOuY96KIoqA,7080000,Entertainment,458426,19103,607
2025-02-21,ZaSUCJM3hcg,We Renovated An Old Warehouse Into Our Dream Studio,Safiya Nygaard,UCbAwSkqJ1W_Eg7wr3cp5BUA,10100000,People & Blogs,621646,59791,2636
2025-02-21,jNnsTNZR2bU,Leon Thomas: Tiny Desk Concert,NPR Music,UC4eYXhJI4-7wSWc8UNRwD4A,10800000,Music,412179,39275,2600
2025-02-21,LFy4BL_FeuQ,"Don Toliver, Speedy - LV Bag (feat. j-hope from BTS & Pharrell Williams) [Official Audio]",Don Toliver,UCgT01FILdWB9BsXBXKjpQ7A,2240000,Music,350814,96709,11506
2025-02-21,VJ68T2syFEk,GROWING OUR FAMILY,Lauren & Arie,UCkoZyNqTZyBZ8nu8E_OSkWw,342000,Entertainment,218336,2769,352
2025-02-21,Nfbj7Uf1ZKk,Emergency c-section birth vlog!!,Keir&Trev,UCpWKlxbmDIIjXNSN2qE3iXQ,22800,People & Blogs,232192,5470,1117
2025-02-21,H0y5RwcCJ0Q,Lady Gaga - Abracadabra (Rehearsal Video),LadyGagaVEVO,UC07Kxew-cMIaykMOkzqHtBQ,8880000,Music,1033913,103256,5471
2025-02-21,hUaL56hw-jc,"Canada vs. United States | 4 Nations Face-Off Championship Highlights | February 20, 2025",NHL,UCqFMzb-4AUf6WAIbl132QKA,2310000,Sports,523478,10292,2770
2025-02-21,s1aQb1bgPdQ,Real Madrid vs. Manchester City: Extended Highlights | UCL Knockout Phase Play-off Leg 2 | CBS,CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,2260000,Sports,1530537,19315,2033
2025-02-21,mFuyX1XgJFg,Introducing iPhone 16e - February 19,Apple,UCE_M8A5yxnLfW0KghEeajjw,19900000,Science & Technology,11105247,211501,0
2025-02-21,ZQCg0qBKn1M,A Game About Digging a Hole,special edd,UCel2B-6wZhvQHRAKXmpm1Ew,5070000,Gaming,648128,31622,3699
2025-02-21,zpieZkvFnlE,HIGHLIGHTS Real Madrid 3-1 Man City | Mbappe (3) & Nico Goals,Man City,UCkzCjdRMrW2vXLx8mvPVLdQ,8230000,Sports,6736415,84830,5234
2025-02-21,F1_aOX0acbY,"W Sound 05 ""LA PLENA"" - Beéle, Westcol, Ovy On The Drums",W Sound,UCWOVPbJfZ_g1JslVi_OFGfQ,325000,Music,1238323,103458,14341
2025-02-21,otQ6kAZJXcY,A day in Hay Day,Hay Day,UCBrMq7wkdPWb3PxR-GUR61A,2430000,Gaming,171841,8870,803
2025-02-21,XtdWTxTGDRg,VonOff1700 - Turnt In Real Life (ft. Rio Da Yung OG) (Official Video),VonOff1700,UC023sB-A8vI7F3ByKMF9BGA,222000,Music,262819,18584,877
2025-02-21,pH2ePWtKdfo,Gamer Cred,videogamedunkey,UCsvn_Po0SmunchJYOWpOxMg,7550000,Gaming,1343867,90471,6742
2025-02-21,3EVrS7yU1Qc,Lady Gaga Takes a Lie Detector Test | Vanity Fair,Vanity Fair,UCIsbLox_y9dCIMLd8tdC6qg,4580000,Entertainment,848120,57646,3715
2025-02-21,6ORBFXYlQ3U,Human Torch: Hottest Hero In Town | Character Reveal | Marvel Rivals,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,519000,Gaming,2829619,124590,8413
2025-02-21,gi24Xl2PJIc,Satellite Images Reveal The Reality Of Saudi Arabia's $2 Trillion Megacity In The Desert,Business Insider,UCcyq283he07B7_KUX07mmtA,9890000,News & Politics,2173167,20469,3380
2025-02-21,l44udAAD3Yc,The Thing: You Know What Time It Is | Character Reveal | Marvel Rivals,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,519000,Gaming,2970314,140170,10846
2025-02-21,fn_LO1NlKkk,Open Thoughts With Druski,Open Thoughts,UCNWHllkNIWv1MSvKcOzLsow,806000,Entertainment,1105472,31167,2949
2025-02-21,aOL-1kKeDF8,NRL All Stars 2025 | Indigenous v Māori | Match Highlights,NRL - National Rugby League,UC33-OkQ6VCYk8xtml8Pk4-g,467000,Sports,239611,2861,777
2025-02-21,cnu6KBdtELY,A Pokémon Nuzlocke nearly ruined by Glitches,Alpharad,UCBODyKF0JMbUd6D9Bklyzbw,3710000,Gaming,560966,32913,1436
2025-02-21,SoZzlNKfrbY,Toronto Emergency Landing: Captain Steeeve Breaks Down ATC & Survivor Footage,Captain Steeeve,UCx8Thl4BbkOwslTGXzPJx0A,338000,Nonprofits & Activism,1272161,54342,7021
2025-02-21,66eAN56g7D8,Fortnite Battle Royale Chapter 6 Season 2 - LAWLESS | Cinematic Gameplay Trailer,Fortnite,UClG8odDC8TS6Zpqk9CGVQiQ,13000000,Music,11006972,148593,11349
2025-02-21,zT4uqa_hsKM,COME BACK (Studio Box Ep),Saii Kay Music ,UCv9wSO7Zc0iq9HSfY0Njqjg,27100,Music,84150,0,193
2025-02-21,Mw1r6DwYy-g,All 20 Drivers. All 10 Teams. UNVEILED. | F1 75 Live at The O2,FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,11600000,Sports,0,235209,3814
2025-02-21,RsKygtA2DMY,Bring Her Back | Official Teaser HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1460000,Film & Animation,538642,14231,1118
2025-02-21,DxoyvthtjPA,"GUESS the PRICE, I'll BUY IT *Challenge* | Louie's Life",Louie's Life,UCZDdF_p-L88NWVpzF0vjvMQ,2760000,Entertainment,115834,6464,423
2025-02-21,TgKsG6NZSIo,Why Kendrick Lamar's Super Bowl Halftime Show Is America,Josh Johnson,UCLuYADJ6hESLHX87JnsGbjA,1410000,Comedy,1691342,107617,7382
2025-02-21,EMHb50V3Tco,SIDEMEN AMONG US PROXIMITY CHAT: CANNIBAL EDITION,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,9120000,People & Blogs,4189931,154778,4442
2025-02-21,ptslByTONso,Lil Poppa - Forever Grateful (Official Music Video),Lil Poppa,UCyEM4Sfyous2XuWbKep38jg,686000,Music,178990,12940,773
2025-02-21,uz6oyGKGvNo,Young G.O.A.T (Official Video) Cheema Y | Gur Sidhu | New Punjabi Song 2025,Brown Town Music,UColNRmGBE3dNzJ89zZZOh2Q,3580000,Music,5617203,217595,2701
2025-02-21,DmEGBahm3r8,"NEW *Season 2* BATTLE PASS in Fortnite! (Pickle, Midas, Sub-Zero)",TG Plays,UCqVCSWnuOSPm26orvNDTuWQ,8570000,Gaming,330550,6983,658
2025-02-21,N3IRE58hYYM,WHEN YOU GET YOUR FIRST JOB,Darryl Mayes,UCOAh7LxxMFBFLeRrKGKhScA,2530000,Comedy,375945,18737,1590
2025-02-21,NECBCxEFMCo,Are Foldables Cooked?,Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,19800000,Science & Technology,2651417,90501,6800
2025-02-21,DpCrtVKIEmg,Our Daughter’s EMOTIONAL Birthday Surprise,The Royalty Family,UCja7QUMRG9AD8X2F_vXFb9A,28800000,People & Blogs,3166610,43686,0
2025-02-21,2IVlE7DZjrQ,What is Roblox Obby,Slushy Noobz,UC5ig0ubThGbS1sVlexAQySw,773000,Gaming,687307,49923,6373
2025-02-21,KXNOWJezRyY,Surviving 3 Haunted Prisons ALONE for 50 Hours | Full Movie,Sam and Colby,UCg3gzldyhCHJjY7AWWTNPPA,13700000,Entertainment,4262199,200949,28631
2025-02-21,tNIM8ajYp8s,I Went UNDERCOVER in Nick Eh 30's OG Hide & Seek!,CouRage Gaming,UCqg3BHb31w2h77vFuTFmp2w,2630000,Gaming,711471,35230,1257
2025-02-21,TN_mFrAI858,NEW VLOG | COME TO THE BAFTAs WITH ME | MOLLYMAE,MollyMae,UC-F3kTU4V680v550AavEOsQ,2000000,People & Blogs,352903,9705,601
2025-02-21,UPmMum19mbM,Complete Set in 83 Min. or Lose It All AGAIN (Pokemon Card Challenge),Deep Pocket Monster,UCnnrLDosqnpRPQ_TH3uXnnQ,1430000,Entertainment,708503,23272,1250
2025-02-21,n1KgxqEQn0A,Is The Penny *Finally* Dead?,CGP Grey,UC2C_jShtL725hvbm1arSV9w,6650000,Entertainment,1614790,109087,124
2025-02-21,-HPPGQhar3o,The Dream Team House Tour,Dream,UCTkXRDQl0luXxVQrRQvWS6w,31900000,Gaming,741410,57836,4593
2025-02-21,TtVKfqquGwA,I Got Hunted by the World's Best Minecraft Player,Parrot,UCPLMPHT-d8GZOqL_AHJFdQQ,1760000,Gaming,563855,18609,2625
2025-02-21,VkCknG-jdM4,TRYING BANNED TEMU ITEMS WITH QUEN,LARRAY,UCt_DaLB_NDqPVxezyvcfRtg,9730000,People & Blogs,1903061,123196,3282
2025-02-21,wn4F_BUT63s,ASMR MUKBANG | FT. ASH TREVINO,ZavaUtube,UCmHkA68G7ChN_J1blIKOTzg,183000,People & Blogs,486744,0,2091
2025-02-20,Nfbj7Uf1ZKk,Emergency c-section birth vlog!!,Keir&Trev,UCpWKlxbmDIIjXNSN2qE3iXQ,20800,People & Blogs,95872,3947,574
2025-02-20,mFuyX1XgJFg,Introducing iPhone 16e - February 19,Apple,UCE_M8A5yxnLfW0KghEeajjw,19900000,Science & Technology,8282529,199869,0
2025-02-20,ZQCg0qBKn1M,A Game About Digging a Hole,special edd,UCel2B-6wZhvQHRAKXmpm1Ew,5070000,Gaming,429373,25276,2371
2025-02-20,zpieZkvFnlE,HIGHLIGHTS Real Madrid 3-1 Man City | Mbappe (3) & Nico Goals,Man City,UCkzCjdRMrW2vXLx8mvPVLdQ,8230000,Sports,5543524,77810,4537
2025-02-20,6ORBFXYlQ3U,Human Torch: Hottest Hero In Town | Character Reveal | Marvel Rivals,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,517000,Gaming,2704932,121725,8081
2025-02-20,3EVrS7yU1Qc,Lady Gaga Takes a Lie Detector Test | Vanity Fair,Vanity Fair,UCIsbLox_y9dCIMLd8tdC6qg,4580000,Entertainment,617421,49549,3084
2025-02-20,l44udAAD3Yc,The Thing: You Know What Time It Is | Character Reveal | Marvel Rivals,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,517000,Gaming,2846854,136666,10750
2025-02-20,pH2ePWtKdfo,Gamer Cred,videogamedunkey,UCsvn_Po0SmunchJYOWpOxMg,7550000,Gaming,1026295,76189,5853
2025-02-20,XtdWTxTGDRg,VonOff1700 - Turnt In Real Life (ft. Rio Da Yung OG) (Official Video),VonOff1700,UC023sB-A8vI7F3ByKMF9BGA,221000,Music,169641,15153,748
2025-02-20,SoZzlNKfrbY,Toronto Emergency Landing: Captain Steeeve Breaks Down ATC & Survivor Footage,Captain Steeeve,UCx8Thl4BbkOwslTGXzPJx0A,334000,Nonprofits & Activism,1041787,50160,6556
2025-02-20,66eAN56g7D8,Fortnite Battle Royale Chapter 6 Season 2 - LAWLESS | Cinematic Gameplay Trailer,Fortnite,UClG8odDC8TS6Zpqk9CGVQiQ,13000000,Music,9070648,140841,10877
2025-02-20,Mw1r6DwYy-g,All 20 Drivers. All 10 Teams. UNVEILED. | F1 75 Live at The O2,FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,11600000,Sports,0,231410,3611
2025-02-20,fn_LO1NlKkk,Open Thoughts With Druski,Open Thoughts,UCNWHllkNIWv1MSvKcOzLsow,804000,Entertainment,814428,25567,2610
2025-02-20,F1_aOX0acbY,"W Sound 05 ""LA PLENA"" - Beéle, Westcol, Ovy On The Drums",W Sound,UCWOVPbJfZ_g1JslVi_OFGfQ,320000,Music,565471,80985,13280
2025-02-20,cnu6KBdtELY,A Pokémon Nuzlocke nearly ruined by Glitches,Alpharad,UCBODyKF0JMbUd6D9Bklyzbw,3710000,Gaming,421203,28073,1290
2025-02-20,RsKygtA2DMY,Bring Her Back | Official Teaser HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,1460000,Film & Animation,350958,12192,1015
2025-02-20,s1aQb1bgPdQ,Real Madrid vs. Manchester City: Extended Highlights | UCL Knockout Phase Play-off Leg 2 | CBS,CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,2250000,Sports,1265432,17313,1778
2025-02-20,TgKsG6NZSIo,Why Kendrick Lamar's Super Bowl Halftime Show Is America,Josh Johnson,UCLuYADJ6hESLHX87JnsGbjA,1400000,Comedy,1422802,96392,6786
2025-02-20,DxoyvthtjPA,"GUESS the PRICE, I'll BUY IT *Challenge* | Louie's Life",Louie's Life,UCZDdF_p-L88NWVpzF0vjvMQ,2760000,Entertainment,86542,5370,375
2025-02-20,ptslByTONso,Lil Poppa - Forever Grateful (Official Music Video),Lil Poppa,UCyEM4Sfyous2XuWbKep38jg,685000,Music,132339,11286,701
2025-02-20,gi24Xl2PJIc,Satellite Images Reveal The Reality Of Saudi Arabia's $2 Trillion Megacity In The Desert,Business Insider,UCcyq283he07B7_KUX07mmtA,9880000,News & Politics,1323254,13556,2293
2025-02-20,uz6oyGKGvNo,Young G.O.A.T (Official Video) Cheema Y | Gur Sidhu | New Punjabi Song 2025,Brown Town Music,UColNRmGBE3dNzJ89zZZOh2Q,3580000,Music,3366231,201940,2159
2025-02-20,N3IRE58hYYM,WHEN YOU GET YOUR FIRST JOB,Darryl Mayes,UCOAh7LxxMFBFLeRrKGKhScA,2530000,Comedy,303111,16061,1466
2025-02-20,aOL-1kKeDF8,NRL All Stars 2025 | Indigenous v Māori | Match Highlights,NRL - National Rugby League,UC33-OkQ6VCYk8xtml8Pk4-g,466000,Sports,234914,2831,781
2025-02-20,Z0NJ3KqMjKY,F1 75 LIVE Highlights | 2025 F1 Car Liveries Revealed!,FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,11600000,Sports,2172771,58213,3290
2025-02-20,zT4uqa_hsKM,COME BACK (Studio Box Ep),Saii Kay Music ,UCv9wSO7Zc0iq9HSfY0Njqjg,27100,Music,81739,0,193
2025-02-20,EMHb50V3Tco,SIDEMEN AMONG US PROXIMITY CHAT: CANNIBAL EDITION,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,9120000,People & Blogs,3682530,143728,4228
2025-02-20,0plTobTOivo,Former Kennedy Center president Deborah Rutter talks about dismissal | All Things Considered | NPR,NPR,UCJnS2EsPfv46u1JR8cnD0NA,578000,News & Politics,305028,10291,3539
2025-02-20,CDDbBBGtSX8,The Sims 4 Businesses & Hobbies | Official Gameplay Trailer,The Sims,UCFXKLSrT-4-Mf5TRqv40rgw,1910000,Gaming,414776,23842,4383
2025-02-20,V5ChvWj9NC8,"The Revolution (Full Ep) Arjan Dhillon, Mxrci | Latest Punjabi Songs 2025 | Panj-aab Records",Panj-aab Records,UCQoY_9ZKWKCOWGENzg2INIQ,2730000,Music,1069624,51878,2480
2025-02-20,eNN0B60rMys,"*EXCLUSIVE* HUMAN TORCH Guide, Combos, Tips And Ability Breakdown",Necros,UCAKuhQ3obS6kZe3gHmKq71Q,374000,Gaming,710130,23161,1106
2025-02-20,DpCrtVKIEmg,Our Daughter’s EMOTIONAL Birthday Surprise,The Royalty Family,UCja7QUMRG9AD8X2F_vXFb9A,28800000,People & Blogs,2920200,41732,0
2025-02-20,t0Sa_2R2jMw,All 80 aboard Delta flight survive after jet flips upon arrival in Toronto,WKYC Channel 3,UCNBmxc6FvKyxtCpUygcdINA,413000,News & Politics,1271684,5586,2568
2025-02-20,2IVlE7DZjrQ,What is Roblox Obby,Slushy Noobz,UC5ig0ubThGbS1sVlexAQySw,769000,Gaming,628464,47787,6309
2025-02-20,KXNOWJezRyY,Surviving 3 Haunted Prisons ALONE for 50 Hours | Full Movie,Sam and Colby,UCg3gzldyhCHJjY7AWWTNPPA,13700000,Entertainment,3994252,194183,28099
2025-02-20,KDorKy-13ak,Kendrick Lamar's Apple Music Super Bowl Halftime Show,NFL,UCDVYQ4Zhbm3S2dlz7P1GBDg,14300000,Sports,76489971,2750850,161849
2025-02-20,KrMFqA2oG-I,A$AP Rocky & Rihanna Face Media Outside Court After AQUITTAL,extratv,UCVr-TwiGNnveWyOouIyz2fQ,912000,Entertainment,322108,5111,876
2025-02-20,tNIM8ajYp8s,I Went UNDERCOVER in Nick Eh 30's OG Hide & Seek!,CouRage Gaming,UCqg3BHb31w2h77vFuTFmp2w,2630000,Gaming,657612,33674,1218
2025-02-20,n1KgxqEQn0A,Is The Penny *Finally* Dead?,CGP Grey,UC2C_jShtL725hvbm1arSV9w,6650000,Entertainment,1525258,104590,123
2025-02-20,UPmMum19mbM,Complete Set in 83 Min. or Lose It All AGAIN (Pokemon Card Challenge),Deep Pocket Monster,UCnnrLDosqnpRPQ_TH3uXnnQ,1430000,Entertainment,641861,21887,1206
2025-02-20,TN_mFrAI858,NEW VLOG | COME TO THE BAFTAs WITH ME | MOLLYMAE,MollyMae,UC-F3kTU4V680v550AavEOsQ,2000000,People & Blogs,218044,7706,472
2025-02-20,-HPPGQhar3o,The Dream Team House Tour,Dream,UCTkXRDQl0luXxVQrRQvWS6w,31900000,Gaming,683243,55055,4460
2025-02-20,TtVKfqquGwA,I Got Hunted by the World's Best Minecraft Player,Parrot,UCPLMPHT-d8GZOqL_AHJFdQQ,1750000,Gaming,492462,17264,2538
2025-02-20,VkCknG-jdM4,TRYING BANNED TEMU ITEMS WITH QUEN,LARRAY,UCt_DaLB_NDqPVxezyvcfRtg,9720000,People & Blogs,1758642,115973,3192
2025-02-20,wn4F_BUT63s,ASMR MUKBANG | FT. ASH TREVINO,ZavaUtube,UCmHkA68G7ChN_J1blIKOTzg,183000,People & Blogs,449343,0,2022
2025-02-20,nsvmBlC-XQo,I REBUILT A PORSCHE 911 GT3RS THAT WENT SWIMMING,Mat Armstrong,UCcLYOTz3ct6_lk9iLToxxAw,4220000,Autos & Vehicles,3911244,202105,9239
2025-02-20,T3d-c1TAQQg,I Tested TEMU Scam Fitness Products,Will Tennyson,UCB2wtYpfbCpYDc5TeTwuqFA,3490000,People & Blogs,1952535,65030,3125
2025-02-20,xhP1B4x_DTI,I Tried Food From Every State!,a bit more willne,UC5JYRErFekvgcd2Sb-s8-Tg,2370000,Comedy,492797,21715,650
2025-02-20,sUot-_0OPfA,What the hell did we actually just witness?,Next Man Up,UCHdZOn6H4Q87BrkeKRuit8Q,104000,Sports,2846368,46282,9653
2025-02-20,UVJ4oSKhkcs,Decorating The House and Confronting Our Enemies!,Ryland vlogs,UCVe_RrR9AMeY6Z8ixOv5gtw,570000,People & Blogs,386452,17793,1320
